No.;Time;Comment;Scramble;Date;P.1
103;1:44.89;;U Fw2 R2 Fw' U' B2 F2 Fw2 L D2 Uw R' Rw' Fw2 U' Rw B U2 R B' L2 Uw D2 U2 L2 F2 Rw Fw D' F Fw Rw2 D2 B L' D U2 Uw2 Fw Uw;2025-06-16 17:11:56;1:44.89
104;1:46.84;;R2 Fw' Uw F2 Fw' Rw2 F R2 F' D' B2 Fw' F' U Uw' Rw R2 U Rw2 Uw' Fw Uw' U' Fw Uw' U2 R L B' L' F' U' Rw Fw' Rw2 D R' Uw F' L;2025-06-16 17:14:16;1:46.84
105;DNF(1:48.02);;U' F B' L2 Uw2 U2 D' R' F D F' Fw2 Uw2 U Rw' R' L' F' Fw' Uw2 L F' Uw2 R2 L U' B U Uw2 F R2 Rw' Uw Fw' D Rw F2 R' Uw2 Rw2;2025-06-16 17:16:34;1:48.02
106;1:56.47;;D2 Fw' B Rw' D Rw U' B' D2 R2 D Fw' D R2 Fw2 Rw R2 U2 D' F' L2 Fw Rw' D' B Uw' Fw' B' F U L2 B' Uw2 R Fw F R2 Uw' D' Fw2;2025-06-16 19:01:30;1:56.47
107;1:21.62;;Rw' F2 Uw' B Fw2 R D Fw2 R2 Fw R2 U' Rw' L2 Fw' U' F R B Fw' D' L' R2 Uw' F Fw R' Rw' D Fw2 R2 L' Rw' F Fw L2 U' Uw' Fw R';2025-06-16 19:04:07;1:21.62
108;2:27.95;;L Fw2 R' Rw' B2 Fw2 L Fw' B U Uw B2 Fw' U' Rw2 B Rw' D Fw2 B2 D2 R2 Rw Uw2 Fw L Uw L' Fw Rw' D2 Rw2 B Rw2 F2 Rw2 R L2 F U2;2025-06-16 19:06:31;2:27.95
109;1:45.90;;B' D L' D' B2 U2 Uw' D2 F' B D' Rw' Uw R' F D L' Uw2 F2 Rw' B Uw' F' Rw2 Uw' R F' R2 F2 L2 U Uw' Rw' F R B U B' R D2;2025-06-16 19:09:27;1:45.90
110;2:04.43;;Fw2 D2 L2 Uw D2 B' U' R' F Fw Uw' Fw2 B Rw' R' L' Fw' L2 R' D2 R' B' F' Fw' U L' U F' Fw' Uw2 Rw' F2 L' U' R' B2 L' F B' U2;2025-06-16 19:11:45;2:04.43
111;DNF(1:13.93);;F Uw D Rw2 Fw2 U' F2 B U' B2 Uw Fw B2 D2 Rw Fw Rw F D Rw' Fw' D' Fw' L' F Fw2 D2 R D' U2 B D2 F' D Rw2 B2 F' Uw' Rw2 L';2025-06-16 19:14:25;1:13.93
112;1:52.21;;R2 U R L' U D2 B D Rw' R2 L2 U2 B' Fw L' R Rw F2 B Uw2 F D2 B2 F L' F Rw2 L' Uw' Fw' Uw' U2 L Uw' Rw2 B F2 R' Uw' Fw';2025-06-17 19:48:41;1:52.21
113;1:34.99;;U Fw2 Rw' D2 B' Fw' L Rw U R2 Fw' B2 L F2 U' Uw' R' Fw' R D' F2 U R Rw2 Uw2 D2 R2 U Fw2 B2 Rw' U F' R' D' F' U Fw2 F' L';2025-06-17 19:51:30;1:34.99
114;1:42.37;;L F L2 U Rw' D Rw' Uw' D B U L2 Rw D2 R' U' Uw' B' R Uw F2 L2 Fw2 U2 L Rw2 F' L' D' L' Rw D U' Fw' U F' Rw2 U2 L2 B2;2025-06-17 19:54:00;1:42.37
115;1:58.88;;B L D2 F R F' Uw2 R F Fw' D2 U' L U2 L Fw R2 L Rw2 Fw L2 Rw' B' F Rw' D2 F' L2 Rw2 Fw Uw2 R Rw2 Uw' Rw2 Fw' L2 F' D2 R;2025-06-17 19:56:16;1:58.88
116;1:41.15;;R2 Uw Rw2 B2 Fw2 U' Fw' Rw D' Fw2 Uw' Fw' Uw U' Rw' B L2 D' B2 D' Uw2 R Rw' L2 Fw L' R Uw' D2 U R' D L R2 U F2 L F L B2;2025-06-17 19:59:02;1:41.15
117;1:53.18;;Fw' Rw' U' Fw2 D Uw Rw U D F' Fw2 B' Uw' F' Uw2 D Fw R2 F Rw2 R' D2 U' B2 U Rw2 U' Uw2 D L' R Fw' L2 D R L' F B2 Fw2 U';2025-06-17 23:56:41;1:53.18
118;1:48.35;;R Uw' U B Uw' L Fw F' R2 L2 Fw' L Fw D' Rw U B' D2 F' Uw' B F2 Rw' B2 Fw U' R' U2 B' D' Uw' Rw2 D Fw Uw2 F2 Fw L Fw Rw';2025-06-17 23:59:08;1:48.35
119;DNF(1:08.16);;Fw Uw D' U2 L2 Rw R' U' L' U' D Fw D' R Uw2 U' L' B' Rw2 D R2 Fw2 U2 L Fw U' Uw2 Rw D2 Uw2 R F D L' B2 Rw' D U2 L' F;2025-06-18 00:01:31;1:08.16
120;2:14.64;;L Fw R2 U' Rw U2 R L2 Uw Rw Uw Rw B F' Uw' L' B2 Rw F2 D F' Uw' B' L' D2 Uw2 Rw2 D B2 Rw2 D B' U' Rw' Fw D2 U2 Uw2 F2 Uw2;2025-06-18 00:03:48;2:14.64
121;1:23.02;;Rw F2 B Uw L Uw2 U2 B2 D Uw' R2 B' U B R' D2 B' Rw2 F Rw2 Uw D2 U' F2 Uw2 L' Uw' Fw L Fw F' U2 R2 Fw' R' L2 Fw' F2 Rw Uw2;2025-06-18 19:05:46;1:23.02
122;DNF(1:33.26);;F' D' Rw' F' B2 L2 D' F2 B2 R' F Rw L2 F' D2 R' F' D' Uw L' Uw R B' Rw Uw2 U Fw U' F D2 Fw R Uw' B2 R2 D' F2 Uw' Fw B;2025-06-18 19:07:39;1:33.26
123;2:00.83;;U2 Fw' U2 Uw2 Rw2 L U L2 Fw2 Uw Rw Fw' Uw D F R2 B2 L R' B' R B2 L' Fw' U R2 B2 L2 Rw2 U' Fw' U2 L U' D2 Fw' B2 F' Rw2 Uw;2025-06-18 23:08:43;2:00.83
124;1:51.19;;F B Fw Rw B2 Rw' D U' Fw' B' U R' Fw' R' D2 Rw' L' Fw' L F D' L R' B U D2 F B2 Fw2 Uw' D' F2 L Uw' Fw2 L' Rw2 Uw' Fw2 Uw2;2025-06-18 23:11:38;1:51.19
125;1:44.50;;U2 L' Rw2 Fw2 Rw2 B' Uw' F2 D F2 Uw' Fw' U' R' D' Rw B2 R' F' Fw' R F' Fw' Rw2 F' L' R' Fw F2 U L2 D R Rw2 Uw2 L Rw' F' Rw2 F2;2025-06-18 23:14:38;1:44.50
126;1:33.00;;R Fw' R2 F2 Fw2 B2 R D' L U L' U D R' D L R2 U' B' Rw2 B2 L' F2 L' Uw2 R F2 Fw2 L Uw2 F U2 Uw' D2 F' U' Fw' D' B' Uw2;2025-06-18 23:18:09;1:33.00
127;1:55.64;;L2 U L' Fw F R' Rw' F' U2 Uw2 Rw2 B D' Rw2 Fw' U2 R2 L B' D2 Uw' F D' U' L' Fw' B' R2 D2 Fw U2 Fw2 Rw F' D F B' Fw' Rw' Fw';2025-06-18 23:20:29;1:55.64
128;1:40.01;;Rw Uw2 Fw F2 Uw Fw F2 U Uw' D' F2 B' R2 U' D2 F L U Rw' L Uw2 D2 U' Rw2 L Uw' F2 Fw U D Fw' F2 B' D2 Fw' Uw F' Rw' D2 Uw;2025-06-18 23:23:01;1:40.01
129;DNF(1:51.69);;U' R2 B2 Uw' Fw' U' L2 F' U2 B' Fw2 Rw F2 D2 Fw' R2 Rw' D2 Rw2 B U Rw2 F2 L' U Rw B' Uw2 F' B2 D Rw2 F Fw D' B' D2 R F R;2025-06-18 23:27:15;1:51.69
130;1:59.97;;L2 F' Fw2 B Uw F U2 Uw D Fw2 U Rw2 Uw F U2 Rw2 D' R' L' Uw2 Rw2 U' Rw D' L' B2 R2 U' D2 Fw' B L' D' L' D Fw Rw L' R' Fw;2025-06-19 20:13:43;1:59.97
131;1:51.28;;D2 B Rw' L2 Fw' Rw2 L' F2 Uw F' B' R2 Fw' R' Fw Uw2 F R' U2 F' Fw2 U2 L' D L F2 Uw F' Fw2 D B2 L' Uw D L' Fw B' Uw D' U';2025-06-19 20:16:48;1:51.28
132;1:43.00;;Fw2 F2 L2 B R2 U' F2 L2 R2 B L2 F Uw Fw' Rw2 Fw2 F2 U2 B Uw' Fw2 B2 L2 U B2 U' R' D' Uw U2 L Uw D R2 Uw R' F2 L' Fw B';2025-06-19 20:19:39;1:43.00
133;1:39.93;;F' Rw R Fw' D F D' L Uw2 F' R' D2 L Rw' Fw R' F' Uw2 R2 Rw L' D' L' B' Fw2 F' Rw' L' U' D L Uw' R2 F Rw' B2 L' F2 Uw2 U;2025-06-19 20:22:14;1:39.93
134;DNF(1:57.45);;L2 R2 U2 L Rw Uw2 F2 Fw2 B L2 Uw' Fw R' Fw2 L' Fw D' Rw2 B2 Rw Fw2 F D' Uw2 U L' R' F' R2 D' L' R2 Fw' B R' B L D' Fw D';2025-06-19 20:24:49;1:57.45
135;1:29.66;;R' Uw R2 D2 Rw2 F2 U B' Rw2 U' R F B2 Rw' U Fw' Rw2 U B2 Fw' D Rw Uw' R2 B2 F2 Uw2 F D Uw' B' R' Fw2 D' Fw' F2 R' U B2 R2;2025-06-19 20:27:30;1:29.66
136;1:44.22;;F2 Rw F2 Uw' D' Rw2 Uw2 Fw2 L Uw' U D Fw' R' Rw2 D' Fw2 D L F' Fw' B D' L2 B Uw2 Fw' D R' D2 Rw B R2 Fw R2 L D' Uw2 U2 F2;2025-06-19 20:29:42;1:44.22
137;2:17.38;;Uw B' U2 Fw' Rw2 L2 Fw' D2 Uw' Fw F2 Uw2 R2 F' D2 B Rw U Fw' B U2 F' B2 R2 F2 Rw Fw Uw Rw2 B R D U2 Uw' L2 R U2 F2 R' L';2025-06-19 20:32:23;2:17.38
138;1:55.42;;D' L2 F' U2 D' L Fw B D' F' L2 U2 D' Uw Fw D' R2 Uw' F' Rw B L R' U2 L U' D R' Rw D F' B' Uw2 B' R' B' F' Fw2 L' U2;2025-06-19 20:35:13;1:55.42
139;DNF(2:01.48);;Fw L R F L F2 Uw2 U2 R F' L' D' L2 Fw Uw2 U R2 F Fw' R2 Rw' B2 F2 Uw' Rw2 L' R D R2 F L2 B' R' L2 Fw' F R2 Rw' Fw' B;2025-06-19 20:37:49;2:01.48
140;1:43.50;;B' Fw2 L2 B2 L Uw2 B' R U R2 Fw' U' B Rw2 Uw2 Fw' Uw' U2 R2 U D' R U B Uw2 L2 Fw2 R B2 D' Rw2 Uw2 U2 L2 R' Fw2 L D' R' Uw2;2025-06-19 20:40:28;1:43.50
141;1:34.10;;R2 L2 U2 R Fw2 R Fw' R' U Fw' R' L' B L' B' Rw F2 R Fw' Rw' Fw' B F' R' D L' Rw F2 Rw' L' Uw2 F Uw U' Rw2 L R B2 U' F2;2025-06-19 20:42:54;1:34.10
142;DNF(2:05.29);;U Fw2 F' B2 D' Fw' Rw Fw2 B' Rw D' R' D2 F2 U' Rw F' D L' D Fw2 B2 Rw2 L' F' B2 Uw' D R2 U' R2 Uw2 Fw D2 Uw2 U2 B' R' Fw2 B2;2025-06-19 20:46:15;2:05.29
143;1:26.20;;R2 Rw Fw' Rw R' U2 L2 F' D R' L2 Rw2 Uw' U2 F2 B' D' Rw' Fw2 B L2 U B' Uw F Rw2 Fw2 Uw2 R2 D' Fw' Uw2 L' B' Uw D' L' Fw U2 Fw2;2025-06-19 20:49:04;1:26.20
144;1:50.03;;B R Rw' F' R' L Fw L R' Rw2 B Uw' L D' U B Fw' D' L2 B2 Uw' D Rw' D2 F' R' D' R2 F L R2 D Rw U' Rw2 U Rw2 F2 B D;2025-06-19 20:51:03;1:50.03
145;2:01.90;;F B2 R2 D2 Rw U2 F2 Fw2 R B' Fw D2 F Rw F' U Rw2 D2 Fw R2 Rw2 Fw2 Uw B' L2 U2 B2 L F B' R2 B' Rw2 R' F2 Uw L2 D' U Uw';2025-06-19 21:18:03;2:01.90
146;DNF(1:09.61);;D' F2 B2 U Fw2 Uw2 U2 Rw' Uw2 Rw2 Fw2 Rw Fw2 L Rw2 B R B2 Rw2 L2 Fw2 U Fw' D2 Rw U' R' L' Fw2 R2 D B' D2 B2 Fw Uw' U Fw R U;2025-06-19 21:20:45;1:09.61
147;1:37.77;;D2 L' D2 Rw' Uw F Uw2 Rw Uw2 L' Fw' F Rw2 Uw2 R2 B2 Rw' Uw Rw D' F2 Uw' L R2 F' U2 L2 Uw2 Rw2 D' Fw' U2 B R' U Rw' Uw B' U Fw';2025-06-19 21:22:23;1:37.77
148;1:59.83;;R2 B2 D2 U Rw2 B2 R Fw2 D L2 F D' Rw Fw2 L' D2 B' Uw' D2 R F B D' Fw R' Rw' B L' D Uw Rw B' U2 Rw2 R Fw U' Uw' L2 Fw';2025-06-19 21:25:55;1:59.83
149;1:57.44;;Uw B L U Fw R F2 Fw2 U D' Fw B2 F2 D' Uw' Fw2 F D2 Uw F' D2 F2 Rw L' B2 Fw F R' Uw2 U' R L Fw2 F' U2 D2 Rw2 U' D Uw2;2025-06-19 21:28:40;1:57.44
150;DNF(1:27.86);;D' Rw' D2 L B2 F' L Uw Fw U R2 L B Fw' Rw2 B' Fw2 R' B2 L D L U Fw2 Uw U' Fw Uw U' R2 L2 Rw' Uw2 B Uw2 Fw2 B L' Rw R;2025-06-19 21:31:21;1:27.86
151;1:57.08;;Uw' Rw U D' F' D' F2 Fw2 L Uw' U F B D' U2 Fw2 D2 L Uw D2 U Fw' F D' L' Fw' L' F' Uw' L F B2 U' F' U R Rw' L2 U Rw;2025-06-20 15:23:01;1:57.08
152;1:45.62;;Fw L2 Rw' B Uw2 Fw2 R Fw L' U' B2 R Uw L' Rw2 B2 L2 Uw Fw2 Rw2 Uw' R' Fw2 R' F U' Fw2 R' D' Uw2 F2 Rw' Fw L' D Rw' U2 R B' F';2025-06-20 15:25:48;1:45.62
153;1:30.23;;Rw' U F Fw2 D Uw Rw Uw' B' Rw2 U D2 Uw2 B U2 Fw R' B2 Uw2 R2 Uw' R U2 D2 F2 U2 B' L' Uw' F' Uw2 U' F Uw' U2 R L' F2 Fw Uw';2025-06-20 15:29:32;1:30.23
154;2:16.61;;F U Fw2 D2 U Uw Fw Uw' D' L Uw U' R L Rw F2 B2 L Fw2 Uw Rw2 Uw2 R' F L F' R' Rw' F R B2 L' D L2 B2 Fw' F2 Rw' F' Uw';2025-06-20 15:31:47;2:16.61
155;2:24.94;;Fw' Uw2 D' Rw2 D2 B2 R2 Fw B L2 Uw Fw2 D' Fw2 B2 R' F R2 U B' D2 U2 F2 B L' Rw2 Fw2 F2 Uw R B' Fw2 D' R D R2 Uw2 U R2 U2;2025-06-20 16:06:50;2:24.94
156;1:37.61;;R' F Fw' R Rw2 Uw R2 U Fw' F' Uw2 L' U F2 Uw2 D2 L Rw' R2 F2 R Uw' F2 U L' Fw2 F D' L' Uw' Rw' L2 Fw' D2 Fw2 U' L' R' Rw2 Uw2;2025-06-20 16:09:56;1:37.61
157;2:03.68;;U' D Fw L2 U' B R2 U' Rw2 F2 Uw' D' Rw' U Uw' L2 Rw' B2 Uw' R' Fw U' Uw2 F' Fw' R' Fw U' L Fw D2 Rw' Uw Fw B F2 Uw2 Rw' R U2;2025-06-20 16:12:16;2:03.68
158;1:30.16;;L' D Rw Fw' Uw F2 R2 Fw' U B Rw2 Fw2 R' B F L' Fw B L2 Fw F2 R U R' L Uw2 F' Rw2 D2 R U2 F B R Fw B2 L2 B' U D2;2025-06-20 16:14:55;1:30.16
159;1:40.97;;Rw' R2 Fw R' D2 Fw Rw2 Fw D Uw2 F Fw' D R' B R F' D U2 Uw2 Fw' D' B Rw R B' Uw U' L2 R' Fw U2 Uw' Rw2 B2 L2 F B L Fw;2025-06-20 16:17:09;1:40.97
160;1:35.99;;Uw Fw2 Uw2 B2 R2 F2 L R B' Fw2 F2 L' F' L Uw' B2 Fw Rw L' R' U B2 D2 B2 Uw' U' Rw' Fw2 B Rw2 U' B2 U2 D' Rw2 U Fw' B F L;2025-06-20 16:19:43;1:35.99
161;DNF(1:11.66);;D' U2 Uw Fw F L D2 F' B2 Fw D2 Uw Rw2 R2 Fw2 Uw2 U2 L' F2 U L B' F' U Fw2 Uw B' Uw2 Fw Uw F Uw2 D' U R' F2 Rw2 U Fw2 D';2025-06-21 18:46:44;1:11.66
162;1:53.75;;B2 F' D L' Uw2 Rw' Fw U F2 U2 Fw D L2 U Fw' D' Rw' U' F2 B2 Uw2 F2 Fw R' D2 R2 Uw2 B L2 B' Uw' U F' U' D2 B2 L2 B Rw' F';2025-06-21 18:48:26;1:53.75
163;1:30.55;;L' D' R' B2 F Rw' L' Fw2 Rw2 R' F2 Rw Fw2 U2 F' B' U2 R' Fw' L' D' F L Fw2 L2 Fw U Rw' Fw2 R2 Rw2 Uw' U' R D B' R' F2 Rw2 Uw2;2025-06-21 18:51:00;1:30.55
164;1:33.44;;D U Uw' Rw' B U D2 Uw2 B Rw' R B D R' D' B Fw' L2 Rw' U' Rw F U2 F L Fw Uw Fw2 L' Fw' Uw Rw D' Rw2 B' F2 Rw F' R Uw';2025-06-21 18:53:09;1:33.44
165;1:22.57;;D2 F2 B2 Fw L2 Uw D2 Rw B2 F' Rw' U F' R Fw' R Rw2 U D' Rw2 Fw' U F U' Fw' Uw2 B2 R2 L2 B2 Fw' U2 Rw' Fw' D2 B' F2 L F Uw';2025-06-21 18:55:26;1:22.57
166;1:47.77;;R2 D2 F2 Uw U F' Fw R' Rw' D' Fw' B R Uw' R2 Fw' F Uw2 D' R Rw2 L' F' D' U' F' U' D2 Fw2 D Uw Rw2 F Fw' B' Uw2 B' D' F' Fw';2025-06-21 18:58:44;1:47.77
167;1:26.71;;D Rw2 F2 U2 Fw2 L' F' U Rw' Uw2 F' Uw' F2 Fw2 Uw2 Rw R2 L2 Uw' R2 Rw' U' R' Fw2 L F' U2 Rw' L2 B Uw2 Rw R' Fw2 R D' Fw' B2 Rw2 F2;2025-06-21 19:01:21;1:26.71
168;DNF(1:34.35);;R Rw2 F2 L' B' U B2 Uw' U B2 Rw' R2 L Uw' D' Rw' D F2 Rw2 U Rw2 Uw2 D' Fw2 B U' R' U2 B' Uw' B2 R' B Fw U' Rw L' F Rw B;2025-06-21 19:03:29;1:34.35
169;1:57.73;;L D2 F' B U' F2 D U' Fw' R L2 Rw' F' L Rw U Uw Rw' B U2 Rw F2 U D' Uw2 R2 Uw' Rw R Uw2 R' B' Uw U F B' D' Uw R2 U2;2025-06-21 19:05:31;1:57.73
170;1:23.20;;Uw' L2 R2 Fw' Uw2 D2 Rw2 D' R2 F2 L2 Rw R2 Fw D2 F B' Uw Rw F R U2 B Fw F R' F' R2 D2 U' Rw' D Fw Rw Fw2 Rw F2 L' Fw2 D';2025-06-21 19:08:04;1:23.20
171;2:17.01;;Uw D' L R' Rw B2 U D Uw' Rw2 D' Uw2 Rw2 Fw2 R' Fw' B R' B D' L' Uw' R2 F2 B' Fw' L' B2 Rw R Fw' L B2 Rw' D Uw' U Rw2 B' F;2025-06-21 19:10:12;2:17.01
172;1:22.51;;F2 B Fw L2 R' F' R2 Rw2 D2 U2 Uw' F' R2 L' Fw F' B' R Fw' R F' U' R2 B2 Uw2 F' Uw' B U' F' B2 Fw' U' Rw2 Uw' F B Fw Uw R';2025-06-22 13:21:41;1:22.51
173;1:24.52;;F B2 D2 Fw' U F' L B Fw' D F2 L' Fw2 R2 Uw2 Fw2 U Fw D' U' Fw U' Fw L2 U' Uw2 Fw2 F L R D2 U2 B Uw2 Fw2 R2 F' Rw F' Rw;2025-06-22 13:23:55;1:24.52
174;1:27.49;;L2 B' Fw L B F' R2 L2 Uw' L Fw B U' Rw2 D' U F B U D2 F Rw R Uw' Rw2 Fw' B2 Rw2 F B2 L2 R Uw R' F2 B2 Uw2 U D Fw';2025-06-22 13:26:08;1:27.49
175;1:30.77;;D' B2 Uw' L Rw D2 R B Uw2 Fw U R' B U2 R' Uw' L B U' L2 Rw' Uw' L' Uw D2 Rw' L' R' B Rw Uw' B' L' Rw F Rw L2 Fw D' F2;2025-06-22 13:32:01;1:30.77
176;DNF(1:37.35);;B2 Rw U2 Rw' B' Rw2 B' Uw2 L2 F' Uw Rw L' D2 F2 B' Uw' U' R2 Fw2 Rw' L' B L Fw' R2 D L F' D B Fw2 R2 Uw2 L2 Rw' D' Fw2 D' R2;2025-06-22 13:34:22;1:37.35
177;1:20.34;;R2 Rw' Uw' U Fw2 L2 B Fw F U2 D' Fw R' U' D2 L2 B L' F2 Uw Rw2 F R2 Fw F' D2 R Fw2 B2 Rw' F' L2 B2 D2 Fw2 Uw Rw2 U' L' Rw2;2025-06-22 13:36:28;1:20.34
178;1:16.99;;R' Fw2 B2 U2 Fw2 Uw Rw2 B2 U2 F U2 R' D Uw U L2 F' B2 L' Rw B U2 Rw2 Uw Rw2 Fw L Fw2 U Fw2 U' Uw2 B2 Uw D' Rw2 U Uw F B2;2025-06-22 13:38:44;1:16.99
179;1:37.40;;Fw D' Rw B2 U' F' B U' D Uw2 R' Fw Uw2 Fw L Fw R2 Rw B Rw' R' U D2 L R' U R Rw2 L' F' D2 F U2 L D U' R2 F B Rw;2025-06-22 13:40:47;1:37.40
180;1:49.57;;F Fw Rw U' L2 R F2 Rw D' B2 D Uw Rw' L B' F R' U' F' R Uw' F' B L2 B2 F D' R Rw2 B Rw2 Uw2 R' Uw R' Fw' U' Uw B2 D;2025-06-22 21:36:33;1:49.57
181;1:52.37;;F' Rw' Uw' R2 Fw' F Uw D' F L' R D Fw2 R L' Fw D2 L U' L' Uw2 Fw2 L U D2 L' Uw2 Rw' D2 Uw2 L' Uw2 Fw2 R2 L Uw Fw B L2 R2;2025-06-22 21:39:03;1:52.37
182;1:52.72;;Fw D' L' U2 L' B' U2 R L2 Rw' D' Rw F' Rw Fw R F2 U2 F' B' Fw2 Uw2 U Rw2 U2 Uw2 F L' D' U2 Fw2 R F U F2 U' L' D2 Uw U';2025-06-22 21:41:31;1:52.72
183;2:01.38;;D2 B U' Rw F2 Uw L2 F' L2 Rw' Fw' D2 L B' U2 Fw' U' D' Uw2 Fw L2 Fw2 Rw Fw2 L B Fw2 D B' Uw2 L2 F' B' D' R' U L' Uw' Rw2 B2;2025-06-22 21:46:02;2:01.38
184;DNF(1:40.92);;D U B2 Uw2 L' D Uw2 L2 R B F2 L' Uw2 B Fw' R2 Fw R' Rw' U2 Rw' Uw L' R2 F' U2 Uw2 Rw' B' F Uw R' D U2 R' B Rw2 L' B2 Uw2;2025-06-22 21:48:41;1:40.92
185;1:47.28;;B Rw' Fw' L2 D2 F' U2 Fw' Rw' Fw' D2 F' Fw' D' Fw2 Rw2 Fw' R Uw L' U Uw2 Fw F U L' B2 F2 Rw L' Fw Uw Rw F Fw2 U R2 Rw Fw' U;2025-07-06 17:48:13;1:47.28
186;1:10.06;;U' Fw2 R Rw F2 B Rw' B' U' Fw L' B' R' Fw' D R2 L Uw U' Rw' R' F' Fw D' Uw' L' Rw Fw Uw U' R L' Rw2 D2 Rw F' Uw' U2 Fw' D';2025-07-06 17:52:06;1:10.06
187;1:34.85;;Rw2 F' Uw R' F' Fw2 L' Uw Rw' L2 D2 U R U D' R Uw2 Fw L Fw' D' L R D2 Rw2 Uw' U L' Rw2 F L2 Uw F L' Rw D' R2 F' D2 Uw;2025-07-06 17:54:07;1:34.85
188;DNF(1:40.26);;D2 Uw' F Rw' B L' D2 L' R2 Uw L' Fw2 Uw Fw L' D2 F L2 Fw' B' R' B' D2 B' F' U Rw R2 B' Rw' Fw2 B D' Rw2 L2 R U Uw F' L';2025-07-06 17:56:33;1:40.26
189;1:35.30;;L' U' Fw R2 F Rw F Uw L2 B' F' L' Rw D L' D' Fw B' Rw2 F L Fw F' L' Rw2 Uw2 B2 Fw' Rw Uw U' B2 F U2 R L2 F' U2 R2 U';2025-07-07 23:10:21;1:35.30
190;1:44.23;;L U B Uw' Rw2 L' Fw' F R2 Fw' R2 F2 Rw' D2 Uw Rw' B R L2 Fw U' Rw' R F2 R Uw U' R' Uw2 Fw2 Uw2 L' B' D L' U2 Uw2 L Uw' Fw';2025-07-11 23:58:12;1:44.23
191;1:43.70;;U' B' D2 Rw F2 U Uw' L' Fw D' R F L2 Fw D Rw' Fw2 U2 Uw' L' F' L' Rw' R Uw Fw2 L Fw2 Rw' B2 Uw B' F' Fw Uw2 B2 R B' R Fw;2025-07-12 00:00:47;1:43.70
192;1:22.30;;Uw' L F2 U B2 D B L' B2 R Rw' Uw' L' Rw2 R Fw2 F2 R' Uw' R' B' L2 Rw R2 D2 Fw' Rw' R2 U L2 R' Fw B' Uw2 R2 Fw' B' Uw R2 F2;2025-07-12 00:03:05;1:22.30
193;1:25.72;;B2 F Fw2 D2 B2 Rw2 L D2 Fw2 D Fw R Rw2 F Uw2 F' Rw R Uw' R2 Rw Uw Rw' B D2 R' Uw R L F Rw' R2 U2 Uw F' B2 Rw2 R Fw Uw2;2025-07-12 00:05:11;1:25.72
194;1:17.39;;Uw2 U' R' D Rw' R U' F' R' U' Rw2 R' U' R' U Uw D' B2 L2 D2 L2 F2 Rw' L' F' Fw2 U2 B L R2 F Rw' Fw B2 L R2 Uw D2 Rw2 F2;2025-07-12 00:07:38;1:17.39
195;1:43.30;;F L' Uw F' L' B2 Uw' U2 B' R' Fw2 F' B L2 B Rw F' L' Uw2 B' Fw' U' Fw D' L Uw2 B F' D U2 L' R' Rw2 D Uw B Rw' D' U' Uw';2025-07-12 00:09:41;1:43.30
196;1:35.42;;B D' L2 Fw' B' Rw2 L U D2 L' Uw' Rw' R D' R U2 Uw D' R2 U' F Rw' D2 U F' Uw' B' D' Rw' Fw U L' D2 Uw Rw' F' D' B F Fw';2025-07-30 18:42:45;1:35.42
197;1:35.90;;B2 R' B U F2 U2 R Rw2 U D' Fw' Uw Fw' Rw D U' R2 U' Fw D2 U' R2 U2 Rw' B2 Uw F2 D2 F2 U2 Fw L' F B2 Rw2 F' U Fw U' Rw';2025-07-30 18:45:06;1:35.90
198;1:15.18;;U2 L' U R' L2 D' F' Rw2 F2 B L U F B' Rw' Uw R' F' U' Fw' U2 Rw' R D' Uw2 F Fw2 R' Fw' L U' Rw2 U2 Fw' D' Uw B2 R2 U' L';2025-07-30 18:47:14;1:15.18
199;1:13.64;;Uw2 R' Fw F2 B' Uw2 L' R2 Rw2 F2 L' Uw L Rw2 Uw' R2 B' Rw R L' Fw' D2 R Fw2 L B L2 Fw L' Fw Rw D2 U F' Uw2 D2 Fw2 U2 D2 F;2025-07-30 18:49:12;1:13.64
200;1:19.50;;B Fw2 D' F Uw2 B2 Rw2 F2 D' Fw2 R Rw2 Fw R' B2 U' L' B2 F2 D U L' R B' Rw Uw2 B' D Fw' B2 L2 U D2 R D Uw Fw2 B R Rw';2025-07-30 18:50:54;1:19.50
201;1:37.73;;L' R' D2 Fw2 D' Uw R' Rw2 D2 L' F B' D Rw' Uw B' D2 B2 U2 Rw R' U2 Fw' Rw L2 F2 L Fw Rw2 Fw' B2 R Uw L U2 Rw F2 B' Uw' Fw2;2025-07-30 18:52:36;1:37.73
202;1:24.61;;U' L' Uw F2 R' Rw2 B2 D F L' B2 R2 Rw2 U L' Fw2 R2 U' Fw B2 F2 L D2 F Fw' Uw2 U2 Rw' D' Uw2 R' Uw R2 D2 Fw2 R Fw' L Rw2 R2;2025-07-30 19:01:59;1:24.61
203;1:26.60;;U B2 L U' F2 D F Rw' U2 Rw' L Fw D L Uw' F2 U Uw Fw U2 Rw2 Uw' F Fw2 U' L2 Rw2 R B D' R Rw Fw' F U D' Rw F2 Fw Rw;2025-07-30 19:03:49;1:26.60
204;1:27.32;;D2 B2 Uw R2 D2 U2 R' Rw' B' Rw2 U' B2 Fw2 L' U' Fw2 U' R' F2 L2 Fw2 L R' Fw2 F' B' D Fw2 U' D' F B2 Fw2 Rw Fw D B D Rw2 L2;2025-07-30 19:05:38;1:27.32
