id,date,dnf,time,solving_method,device_model,user,inspection_time,timer_time,missing_turn,timer,session_name,session_ruleset,share_views,share_likes,share_comments,analysis_version,pickup_time,putdown_time,solving_time,slice_turns,face_turns,quarter_turns,turns_per_second,total_recognition_time,total_execution_time,step_0_time,step_0_recognition_time,step_0_execution_time,step_0_cumulative_time,step_0_slice_turns,step_0_face_turns,step_0_quarter_turns,step_0_turns_per_second,step_1_time,step_1_recognition_time,step_1_execution_time,step_1_cumulative_time,step_1_slice_turns,step_1_face_turns,step_1_quarter_turns,step_1_turns_per_second,step_2_time,step_2_recognition_time,step_2_execution_time,step_2_cumulative_time,step_2_slice_turns,step_2_face_turns,step_2_quarter_turns,step_2_turns_per_second,step_3_time,step_3_recognition_time,step_3_execution_time,step_3_cumulative_time,step_3_slice_turns,step_3_face_turns,step_3_quarter_turns,step_3_turns_per_second,step_4_time,step_4_recognition_time,step_4_execution_time,step_4_cumulative_time,step_4_slice_turns,step_4_face_turns,step_4_quarter_turns,step_4_turns_per_second,step_5_time,step_5_recognition_time,step_5_execution_time,step_5_cumulative_time,step_5_slice_turns,step_5_face_turns,step_5_quarter_turns,step_5_turns_per_second,step_6_time,step_6_recognition_time,step_6_execution_time,step_6_cumulative_time,step_6_slice_turns,step_6_face_turns,step_6_quarter_turns,step_6_turns_per_second,step_7_time,step_7_recognition_time,step_7_execution_time,step_7_cumulative_time,step_7_slice_turns,step_7_face_turns,step_7_quarter_turns,step_7_turns_per_second,step_8_time,step_8_recognition_time,step_8_execution_time,step_8_cumulative_time,step_8_slice_turns,step_8_face_turns,step_8_quarter_turns,step_8_turns_per_second,step_0_case,step_1_case,step_2_case,step_3_case,step_4_case,step_5_case,step_6_case,step_7_case,step_8_case
7726d47a-8ad9-483b-aa21-8b0c15f660f6,2025-08-04 17:20:58 UTC,False,20831,CFOP,Gan 12 UI Maglev,RandomForest,6406,20831,,,gan12,custom_rules,,,,8,0,0,20831,82,84,92,3.94,7807,13024,1178,0,1178,1178,6,6,7,5.09,3279,1510,1769,4457,7,7,7,3.96,3546,1361,2185,8003,12,12,13,5.49,4309,669,3640,12312,19,19,21,5.22,3599,2242,1357,15911,12,12,13,8.84,2163,856,1307,18074,11,11,12,8.42,2757,1169,1588,20831,15,17,19,9.45,,,,,,,,,,,,,,,,,,,,,,,,,
cdea6c8a-dc50-4be7-817b-4b47dfeb6c7b,2025-08-04 17:21:55 UTC,False,21008,CFOP,Gan 12 UI Maglev,RandomForest,22085,21008,,,gan12,custom_rules,,,,8,0,0,21008,67,67,76,3.19,9772,11236,3023,0,3023,3023,7,7,9,2.32,2553,1508,1045,5576,7,7,7,6.7,2039,862,1177,7615,8,8,9,6.8,3558,2475,1083,11173,8,8,9,7.39,3901,1177,2724,15074,11,11,13,4.04,1576,858,718,16650,9,9,10,12.53,4358,2892,1466,21008,17,17,19,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
c25d8258-c37c-4316-a999-e61d35179f7c,2025-08-04 17:28:28 UTC,False,15895,CFOP,Gan 12 UI Maglev,RandomForest,18524,15895,,,gan12,custom_rules,,,,8,0,0,15895,51,55,67,3.21,5617,10213,4323,0,4323,4388,10,10,12,2.31,0,0,0,4388,0,0,0,0.0,2323,145,2178,6711,11,11,13,5.05,2710,2444,266,9421,5,5,6,18.8,2537,1231,1306,11958,9,9,9,6.89,1806,749,1057,13764,9,9,9,8.51,2131,1048,1083,15895,8,12,18,7.39,,,,,,,,,,,,,,,,,,,,,,,,,
41d02896-1df2-4d25-bd31-2400030108af,2025-08-04 17:29:16 UTC,False,13878,CFOP,Gan 12 UI Maglev,RandomForest,18497,13878,,,gan12,custom_rules,,,,8,0,0,13878,62,64,77,4.47,4537,9341,3371,0,3371,3371,14,16,23,4.15,0,0,0,3371,0,0,0,0.0,2918,1749,1169,6289,9,9,12,7.7,1765,758,1007,8054,8,8,9,7.94,1789,677,1112,9843,8,8,9,7.19,1593,764,829,11436,9,9,9,10.86,2442,589,1853,13878,14,14,15,7.56,,,,,,,,,,,,,,,,,,,,,,,,,
51102edd-d9f5-4262-b645-dd920058dfa3,2025-08-04 17:30:09 UTC,False,16987,CFOP,Gan 12 UI Maglev,RandomForest,25897,16987,,,gan12,custom_rules,,,,8,0,0,16987,67,69,78,3.94,6009,10978,3746,0,3746,3746,7,7,7,1.87,1403,903,500,5149,9,9,9,18.0,1853,531,1322,7002,6,6,7,4.54,2102,1111,991,9104,8,8,9,8.07,1448,822,626,10552,8,8,10,12.78,2055,749,1306,12607,10,10,13,7.66,4380,1893,2487,16987,19,21,23,7.64,,,,,,,,,,,,,,,,,,,,,,,,,
2599f291-67db-4aca-b706-e3288824d86e,2025-08-04 17:31:02 UTC,False,30204,CFOP,Gan 12 UI Maglev,RandomForest,10457,30204,,,gan12,custom_rules,,,,8,0,0,30204,104,104,118,3.44,10900,19304,2248,0,2248,2248,6,6,7,2.67,6801,2183,4618,9049,19,19,23,4.11,4012,1764,2248,13061,15,15,16,6.67,3277,2593,684,16338,9,9,9,13.16,2103,1628,475,18441,8,8,8,16.84,5116,1394,3722,23557,18,18,21,4.84,6647,1338,5309,30204,29,29,34,5.46,,,,,,,,,,,,,,,,,,,,,,,,,
ab82e67b-9630-40eb-897a-36edd6f53052,2025-08-04 17:31:38 UTC,False,18427,CFOP,Gan 12 UI Maglev,RandomForest,6636,18427,,,gan12,custom_rules,,,,8,0,0,18427,56,61,69,3.04,9437,8990,1708,0,1708,1708,6,6,7,3.51,4085,1732,2353,5793,14,15,15,5.95,3581,2728,853,9374,8,8,9,9.38,2754,2327,427,12128,4,4,4,9.37,1732,540,1192,13860,10,10,10,8.39,1354,685,669,15214,7,7,8,10.46,3213,1425,1788,18427,7,11,16,3.91,,,,,,,,,,,,,,,,,,,,,,,,,
e3abbcee-087e-4caa-9df4-b25fb1993c2d,2025-08-04 17:32:23 UTC,False,16293,CFOP,Gan 12 UI Maglev,RandomForest,15574,16293,,,gan12,custom_rules,,,,8,0,0,16293,56,61,71,3.44,7741,8552,1765,0,1765,1765,6,6,6,3.4,1072,362,710,2837,8,8,9,11.27,1756,1151,605,4593,6,6,9,9.92,1587,782,805,6180,7,7,7,8.7,3416,2264,1152,9596,9,9,10,7.81,2876,1554,1322,12472,12,12,12,9.08,3821,1628,2193,16293,9,13,18,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
fa7747e8-7e14-49c4-9642-fb482272f2b3,2025-08-04 17:33:00 UTC,False,14176,CFOP,Gan 12 UI Maglev,RandomForest,12921,14176,,,gan12,custom_rules,,,,8,0,0,14176,63,64,73,4.44,7138,6981,2352,0,2352,2409,8,8,11,3.4,1611,1434,177,4020,5,5,5,28.25,2305,1741,564,6325,9,9,10,15.96,878,749,129,7203,3,3,3,23.26,1910,1136,774,9113,11,11,11,14.21,2123,991,1132,11236,12,12,13,10.6,2940,1087,1853,14176,15,16,20,8.09,,,,,,,,,,,,,,,,,,,,,,,,,
68929fe1-6ea2-43b4-8961-eee7a2eec891,2025-08-04 17:33:42 UTC,False,25583,CFOP,Gan 12 UI Maglev,RandomForest,7001,25583,,,gan12,custom_rules,,,,8,0,0,25583,77,81,93,3.01,9027,16556,2916,0,2916,2916,6,6,7,2.06,4320,1942,2378,7236,10,10,14,4.21,7104,234,6870,14340,18,18,20,2.62,3241,2315,926,17581,11,11,11,11.88,1958,1410,548,19539,7,7,7,12.77,2362,1281,1081,21901,11,13,15,10.18,3682,1845,1837,25583,15,17,19,8.17,,,,,,,,,,,,,,,,,,,,,,,,,
